CampaignID,Cost,Revenue,ROI
1,1000,5000,400
2,1500,6000,450
3,2000,7000,500
4,2500,8000,550
5,3000,9000,600
6,3500,10000,650
7,4000,11000,700
8,4500,12000,750
9,5000,13000,800
10,5500,14000,850
11,6000,15000,900
12,6500,16000,950
13,7000,17000,1000
14,7500,18000,1050
15,8000,19000,1100
16,8500,20000,1150
17,9000,21000,1200
18,9500,22000,1250
19,10000,23000,1300
20,10500,24000,1350
21,11000,25000,1400
22,11500,26000,1450
23,12000,27000,1500
24,12500,28000,1550
25,13000,29000,1600
26,13500,30000,1650
27,14000,31000,1700
28,14500,32000,1750
29,15000,33000,1800
30,15500,34000,1850
