Customer ID,Transaction ID,Product,Price,Quantity,Transaction Date
CUST_01,TXN_001,Product A,100.0,2,2024-01-01
CUST_02,TXN_002,Product B,150.0,1,2024-01-02
CUST_03,TXN_003,Product C,200.0,3,2024-01-03
CUST_04,TXN_004,Product D,250.0,1,2024-01-04
CUST_05,TXN_005,Product E,120.0,2,2024-01-05
CUST_06,TXN_006,Product F,50.0,1,2024-01-06
CUST_07,TXN_007,Product G,300.0,2,2024-01-07
CUST_08,TXN_008,Product H,180.0,3,2024-01-08
CUST_09,TXN_009,Product I,220.0,1,2024-01-09
CUST_10,TXN_010,Product J,150.0,2,2024-01-10
CUST_11,TXN_011,Product K,60.0,1,2024-01-11
CUST_12,TXN_012,Product L,220.0,3,2024-01-12
CUST_13,TXN_013,Product M,250.0,1,2024-01-13
CUST_14,TXN_014,Product N,150.0,2,2024-01-14
CUST_15,TXN_015,Product O,70.0,1,2024-01-15
