Month,ProductID,Price,Promotions,Sales
2023-01,101,50,Yes,1000
2023-02,101,50,No,950
2023-03,101,55,Yes,1100
2023-04,101,55,No,1050
2023-05,101,60,Yes,1200
2023-06,101,60,No,1150
2023-07,101,65,Yes,1300
2023-08,101,65,No,1250
2023-09,101,70,Yes,1400
2023-10,101,70,No,1350
2023-11,101,75,Yes,1500
2023-12,101,75,No,1450
2024-01,101,80,Yes,1600
2024-02,101,80,No,1550
2024-03,101,85,Yes,1700
2024-04,101,85,No,1650
2024-05,101,90,Yes,1800
2024-06,101,90,No,1750
2024-07,101,95,Yes,1900
2024-08,101,95,No,1850
2024-09,101,100,Yes,2000
2024-10,101,100,No,1950
2024-11,101,105,Yes,2100
2024-12,101,105,No,2050
